ts,wallet,token_mint,side,price,size_usd,size_token,platform,tx_hash,slot,pool_address
2025-01-01T00:00:01Z,Wallet_A,So11111111111111111111111111111111111111112,buy,1.0,100,100.0,jupiter,stub_So11_001_Wallet_A,275000001,
2025-01-01T00:00:10Z,Wallet_B,So11111111111111111111111111111111111111112,sell,1.02,50,49.019608,jupiter,stub_So11_010_Wallet_B,275000010,
2025-01-01T00:00:20Z,Wallet_C,So11111111111111111111111111111111111111112,sell,1.07,80,74.766355,raydium,stub_So11_020_Wallet_C,275000020,
2025-01-01T00:00:02Z,Wallet_D,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,buy,1.0,120,120.0,raydium,stub_EPjF_002_Wallet_D,275000002,
2025-01-01T00:00:15Z,Wallet_E,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,sell,0.98,60,61.22449,raydium,stub_EPjF_015_Wallet_E,275000015,
2025-01-01T00:00:30Z,Wallet_F,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,sell,0.95,40,42.105263,raydium,stub_EPjF_030_Wallet_F,275000030,
2025-01-01T00:00:03Z,Wallet_G,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,buy,0.01,80,8000.0,pumpfun,stub_DezX_003_Wallet_G,275000003,
2025-01-01T00:00:40Z,Wallet_H,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,sell,0.0102,30,2941.176471,pumpfun,stub_DezX_040_Wallet_H,275000040,
2025-01-01T00:01:10Z,Wallet_I,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,sell,0.0101,30,2970.29703,pumpfun,stub_DezX_070_Wallet_I,275000070,
2025-01-01T00:01:35Z,Wallet_J,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,sell,0.01015,30,2955.665025,pumpfun,stub_DezX_095_Wallet_J,275000095,
